Institution,Course,When?,LeveL
AUA,Experimental Economics,2018, Undergrad
AUA,Applied Food Demand Analysis ,"2008-2009,  2011-2013, 2015", optional MBA course
AUA,Research Methods in Agricultural Economics,2015-2017, Undergrad
AUA,Agricultural & Food Marketing I,2013-2016, Undergrad
UOI,Experimental Economics, 2014-2015, optional MSc course
UOI,Econometrics I, 2009-2011, Undergrad
UOI,Microeconomics I,2009-2013, Undergrad
UOI,Applied Econometrics,2010 - 2011,Undergrad
UOI,Selected Topics in Consumer Behavior,2012-2013,Undergrad
UOI,Applied Microeconometrics,2012-2013, Undergrad

